soc,sector_id,coe_skill_level,title
43-1011,business,Middle Skill,First-Line Supervisors of Office and Administrative Support Workers
43-2011,business,Below Middle Skill,"Switchboard Operators, Including Answering Service"
43-3011,business,Middle Skill,Bill and Account Collectors
43-3021,business,Below Middle Skill,Billing and Posting Clerks
43-3031,business,Middle Skill,"Bookkeeping, Accounting, and Auditing Clerks"
43-3051,business,Middle Skill,Payroll and Timekeeping Clerks
43-3061,business,Middle Skill,Procurement Clerks
43-3071,business,Middle Skill,Tellers
43-3099,business,Below Middle Skill,"Financial Clerks, All Other"
43-4011,business,Middle Skill,Brokerage Clerks
43-4021,business,Below Middle Skill,Correspondence Clerks
43-4041,business,Middle Skill,"Credit Authorizers, Checkers, and Clerks"
43-4051,business,Middle Skill,Customer Service Representatives
43-4071,business,Middle Skill,File Clerks
43-4111,business,Below Middle Skill,"Interviewers, Except Eligibility and Loan"
43-4121,business,Below Middle Skill,"Library Assistants, Clerical"
43-4131,business,Middle Skill,Loan Interviewers and Clerks
43-4141,business,Middle Skill,New Accounts Clerks
43-4151,business,Middle Skill,Order Clerks
43-4161,business,Middle Skill,"Human Resources Assistants, Except Payroll and Timekeeping"
43-4171,business,Middle Skill,Receptionists and Information Clerks
43-4199,business,Below Middle Skill,"Information and Record Clerks, All Other"
43-6011,business,Middle Skill,Executive Secretaries and Executive Administrative Assistants
43-6012,business,Middle Skill,Legal Secretaries and Administrative Assistants
43-6014,business,Middle Skill,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
43-9041,business,Middle Skill,Insurance Claims and Policy Processing Clerks
43-9051,business,Below Middle Skill,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-9061,business,Middle Skill,"Office Clerks, General"
43-9071,business,Below Middle Skill,"Office Machine Operators, Except Computer"
43-9111,business,Middle Skill,Statistical Assistants
43-9199,business,Below Middle Skill,"Office and Administrative Support Workers, All Other"
51-6011,business,Below Middle Skill,Laundry and Dry-Cleaning Workers
51-6021,business,Below Middle Skill,"Pressers, Textile, Garment, and Related Materials"
11-9021,ecu,Above Middle Skill,Construction Managers
11-9041,ecu,Above Middle Skill,Architectural and Engineering Managers
17-1011,ecu,Above Middle Skill,"Architects, Except Landscape and Naval"
17-1012,ecu,Above Middle Skill,Landscape Architects
17-1022,ecu,Above Middle Skill,Surveyors
17-2051,ecu,Above Middle Skill,Civil Engineers
17-2151,ecu,Above Middle Skill,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161,ecu,Above Middle Skill,Nuclear Engineers
17-2171,ecu,Above Middle Skill,Petroleum Engineers
17-3011,ecu,Middle Skill,Architectural and Civil Drafters
17-3022,ecu,Middle Skill,Civil Engineering Technologists and Technicians
