District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Kern CCD,Porterville,INFSP100    ,CCC000628567,Intro to Information Systems                                        ,3,"Information Technology, General-070100                                               ",Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Porterville,STSSP152    ,CCC000628568,College and Career Readiness                                        ,3,Career Guidance and Orientation-493010                                               ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,02.00,02.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,EMLSB90NC   ,CCC000629830,Intro Integrated English Skill                                      ,1,English as a Second Language - Integrated-493087                                     ,Noncredit                                                                  ,Not transferable                                                           ,00.00,00.00,Course is a basic skills course                                            ,Non-Occupational                                                           ,Seven levels below transfer                                                ,English as a Second Language (ESL)                                         ,Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,EMLSB91NC   ,CCC000629831,Basic Integrated English Skills                                     ,1,English as a Second Language - Integrated-493087                                     ,Noncredit                                                                  ,Not transferable                                                           ,00.00,00.00,Course is a basic skills course                                            ,Non-Occupational                                                           ,Six levels below transfer                                                  ,English as a Second Language (ESL)                                         ,Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,EMLSB92NC   ,CCC000629832,Pre-Interm Integrated English                                       ,2,English as a Second Language - Integrated-493087                                     ,Noncredit                                                                  ,Not transferable                                                           ,00.00,00.00,Course is a basic skills course                                            ,Non-Occupational                                                           ,Five levels below transfer                                                 ,English as a Second Language (ESL)                                         ,Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,ANSCB11     ,CCC000630012,Livestock Selection/Evaluation                                      ,1,Animal Science-010200                                                                ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,EMTCB90NC   ,CCC000630018,Paramedic Skills Lab Practice                                       ,1,Paramedic-125100                                                                     ,Noncredit                                                                  ,Not transferable                                                           ,00.00,00.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,Workforce Preparation                                                      ,Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,ENGRB18     ,CCC000630019,Digtal Electron & Logic Design                                      ,1,"Engineering, General (requires Calculus) (Transfer)-090100                           ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,MUSCB45A    ,CCC000630024,Bella Lux Treble Choir                                              ,1,Music-100400                                                                         ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.00,01.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,CHEMC111    ,CCC000630032,General Chemistry I                                                 ,2,"Chemistry, General-190500                                                            ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,05.00,05.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,CHEMC221    ,CCC000630033,Organic Chemistry I                                                 ,1,"Chemistry, General-190500                                                            ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,05.00,05.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB11G    ,CCC000630169,Intercolleg Comp Women: Golf                                        ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,AUTOB61BN   ,CCC000631049,Automotive Fundamental - Lect                                       ,4,Automotive Technology-094800                                                         ,Noncredit                                                                  ,Not transferable                                                           ,00.00,00.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,Workforce Preparation                                                      ,Y,Course is not a support course                                             ,Fall 2025
