,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Skyline Total,,,879,"2,947.32","15,085",903,"2,872.32","16,755",261,"1,389.05","6,770",863,"2,906.55","17,369",889,"1,280.98","18,132",275,"1,646.03","8,046",918,"3,455.49","19,831",980,"3,544.74","20,560",271,"1,667.02","8,123",940,"3,536.68","20,373",991,"3,550.12","21,176",280,"1,760.03","8,695",910,"3,545.97","20,291"
,,130580 - Child Development Administration and Man,2,5.18,37,,,,1,3.54,29,1,4.94,27,,,,1,4.75,39,1,5.74,31,,,,1,4.88,40,1,5.92,32,,,,1,4.88,40,1,4.63,25
,,130590 - Infants and Toddlers                    ,2,10.97,60,,,,,,,2,12.43,68,,,,,,,2,12.14,66,,,,,,,2,13.24,72,,,,1,5.85,32,2,13.06,71
,,"130600 - Nutrition, Foods, and Culinary Arts     ",2,16.04,84,3,27.11,143,1,11.41,62,2,17.35,91,3,0.00,130,1,13.43,73,2,17.16,90,3,19.42,101,1,16.38,89,2,17.73,93,3,19.98,105,1,16.56,90,2,18.11,95
,,130700 - Hospitality                             ,19,36.20,411,35,38.95,657,,,,19,37.81,460,21,4.14,98,,,,19,42.24,432,29,50.67,658,1,1.65,4,9,15.61,159,18,38.53,397,2,4.78,26,9,14.98,132
,,130710 - Restaurant and Food Services and Managem,10,6.14,190,6,3.41,55,,,,11,8.07,262,1,0.46,28,,,,11,8.92,290,1,0.29,9,1,0.56,9,6,3.57,127,4,4.92,59,1,1.11,18,5,3.71,118
,,130720 - Lodging Management                      ,,,,1,0.95,5,,,,,,,,,,,,,1,2.29,12,,,,,,,,,,1,1.53,8,,,,,,
,,"140100 - Law, General                            ",1,3.94,20,1,0.80,8,,,,1,2.31,21,1,2.50,25,,,,1,6.48,35,1,3.94,20,,,,1,9.00,47,1,10.12,46,,,,1,7.89,40
,,140200 - Paralegal                               ,6,23.44,112,5,10.51,53,,,,5,21.41,98,5,3.45,82,,,,6,22.12,120,5,16.22,85,,,,6,30.44,167,4,26.90,134,2,9.33,51,6,38.58,175
,,150100 - English                                 ,55,156.25,960,52,125.09,913,8,36.07,180,55,184.96,"1,141",51,63.54,"1,017",11,51.24,261,63,188.40,"1,290",57,154.50,"1,094",11,45.41,230,60,176.20,"1,189",54,138.11,"1,063",13,48.57,259,58,168.82,"1,207"
,,150300 - Comparative Literature                  ,,,,1,2.47,27,2,9.51,52,2,7.59,49,2,0.00,49,2,4.57,25,2,1.65,18,1,1.55,17,2,6.49,40,2,7.48,54,2,7.22,53,1,4.39,24,,,
,,150600 - Speech Communication                    ,25,90.82,616,27,105.78,657,16,76.72,434,30,102.92,811,29,37.05,733,13,70.71,393,30,119.67,843,32,117.16,828,16,76.16,440,32,113.06,843,32,122.43,872,14,72.15,401,28,95.71,748
,,150700 - Creative Writing                        ,3,3.92,40,3,3.52,36,,,,3,3.84,39,3,2.40,50,,,,3,3.24,33,3,6.88,47,1,4.94,27,3,5.53,39,3,5.48,33,1,6.03,33,3,3.93,40
,,150900 - Philosophy                              ,6,18.15,130,8,18.38,153,2,12.25,67,7,20.55,190,8,4.30,241,3,21.21,116,8,34.87,262,9,36.46,290,3,21.94,120,3,18.69,98,6,38.58,215,5,36.02,197,7,24.20,205
,,"170100 - Mathematics, General                    ",66,235.60,"1,121",55,203.04,"1,074",15,114.30,469,51,194.36,"1,079",50,114.97,"1,175",17,158.08,619,53,222.62,"1,382",55,196.67,"1,225",17,154.92,597,53,209.48,"1,319",52,164.01,"1,121",14,139.57,543,48,187.56,"1,204"
,,"190100 - Physical Sciences, General              ",2,2.00,10,,,,,,,,,,,,,,,,3,2.56,12,,,,,,,,,,2,4.61,23,,,,,,
,,"190200 - Physics, General                        ",25,110.71,353,20,47.05,226,8,55.97,187,24,57.04,241,22,23.58,248,9,80.85,264,22,81.16,312,22,78.81,287,10,73.09,235,23,91.84,330,26,84.20,338,8,66.93,245,19,105.11,406
,,"190500 - Chemistry, General                      ",21,85.64,229,20,83.89,328,4,29.71,79,14,65.11,271,14,70.67,300,3,23.16,84,13,79.46,323,15,82.60,344,2,9.47,51,18,91.39,377,18,105.99,435,3,17.71,79,19,100.94,433
,,191100 - Astronomy                               ,7,31.65,166,7,37.84,217,2,13.07,71,6,33.08,202,6,5.70,190,3,13.25,72,6,31.33,198,8,40.86,248,2,11.59,63,8,37.48,227,7,39.48,236,2,9.93,54,6,33.73,204
,,191400 - Geology                                 ,2,15.90,41,4,21.25,78,3,12.93,63,3,17.00,44,3,0.00,73,1,11.04,60,2,25.55,67,1,6.86,36,2,23.29,94,3,21.79,77,4,23.70,97,2,23.46,86,3,19.32,62
,,191900 - Oceangraphy                             ,5,18.07,92,2,5.05,49,2,11.23,61,5,14.35,96,2,7.41,72,2,17.48,95,3,13.61,100,2,7.40,72,2,15.09,82,3,16.48,119,2,7.33,71,2,12.88,70,3,14.77,111
,,"200100 - Psychology, General                     ",38,120.76,870,33,127.90,881,16,108.72,593,35,159.57,"1,087",33,32.45,"1,062",18,115.77,632,32,147.74,"1,031",33,154.40,"1,111",20,136.76,747,33,151.97,"1,121",34,166.27,"1,167",18,124.43,707,34,168.48,"1,204"
,,210500 - Administration of Justice               ,5,10.38,107,7,15.82,163,2,9.51,52,6,18.70,148,7,3.00,193,2,15.91,87,6,18.48,191,7,16.78,172,,,,6,27.19,165,6,15.61,160,2,10.06,55,5,17.17,176
,,"220100 - Social Sciences, General                ",1,0.19,2,2,1.69,11,,,,2,7.22,39,1,0.00,12,,,,1,0.91,10,1,3.11,17,,,,2,5.66,31,,,,,,,2,3.87,21
,,220110 - Women's Studies                         ,1,3.24,17,1,3.05,16,,,,1,2.29,12,1,0.00,14,,,,1,2.86,15,1,2.29,12,,,,1,2.86,15,1,1.53,8,,,,,,
,,220200 - Anthropology                            ,8,24.92,207,6,24.80,198,3,15.90,87,9,24.42,220,8,6.70,246,3,22.67,124,8,26.74,278,8,33.28,308,3,24.87,136,8,29.65,264,7,27.58,288,3,25.23,138,7,26.10,274
