,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Mission Total,,,72,205.16,"1,854",717,"1,932.65","14,476",228,701.73,"5,077",708,"1,929.95","13,995",60,160.98,"1,457",707,"1,713.56","12,536",212,593.18,"4,550",666,"1,899.94","13,808",72,199.44,"1,762",693,"1,914.73","13,731",224,671.56,"5,041",712,"2,119.28","15,416",63,184.93,"1,678",728,"2,037.37","15,042",236,693.04,"5,240",761,"2,183.96","16,328",62,184.12,"1,670",732,"2,074.02","15,214",237,728.67,"5,464",741,"2,161.73","16,164",59,170.27,"1,515"
,,100220 - Sculpture                               ,,,,1,3.48,17,,,,2,4.28,21,,,,7,4.66,24,,,,4,6.05,33,,,,5,8.56,44,,,,4,6.89,36,,,,6,6.58,33,,,,7,10.09,50,1,3.60,18,7,5.45,27,,,,6,6.72,33,1,3.80,19
,,100230 - Ceramics                                ,,,,,,,4,2.76,14,6,4.27,21,,,,7,5.29,26,5,3.21,17,7,5.09,25,,,,6,5.08,25,3,5.34,26,6,4.89,24,,,,6,5.69,28,5,4.53,22,11,9.17,45,,,,12,9.36,46,3,3.09,15,9,10.92,54,,,
,,100400 - Music                                   ,6,15.36,167,24,36.27,397,8,11.21,124,21,28.66,302,4,14.60,146,20,29.20,307,3,10.40,104,11,25.97,270,4,12.80,128,12,28.37,293,3,9.90,99,17,31.40,325,4,13.50,135,16,28.15,295,3,9.80,98,17,30.52,318,4,13.60,136,19,30.34,315,5,16.10,161,19,30.40,316,4,13.30,133
,,100500 - Commercial Music                        ,,,,3,3.27,31,,,,2,1.20,12,,,,3,1.34,13,,,,3,2.62,25,,,,2,1.78,17,,,,2,1.47,14,,,,2,1.68,16,,,,2,1.67,16,,,,2,1.88,18,,,,2,2.20,21,,,
,,100800 - Dance                                   ,,,,4,2.45,25,,,,5,2.86,28,,,,13,7.73,75,,,,9,9.37,91,,,,13,12.20,118,,,,14,13.98,135,,,,11,12.51,121,,,,11,12.42,120,,,,11,11.35,110,,,,7,11.26,109,,,
,,101100 - Photography                             ,,,,,,,,,,,,,,,,1,3.83,23,1,3.00,18,1,3.83,23,,,,1,4.83,29,1,5.50,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101200 - Applied Photography                     ,,,,1,4.07,23,1,4.75,27,1,3.00,18,,,,,,,,,,,,,,,,,,,,,,1,4.11,24,,,,2,7.00,42,1,5.67,34,1,2.83,17,,,,2,9.00,54,1,2.50,15,2,7.67,46,,,
,,101300 - Commercial Art                          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.20,13,,,,,,,,,,2,4.17,25,,,,,,,,,
,,103000 - Graphic Art and Design                  ,1,3.54,20,13,41.78,247,5,13.74,78,12,39.84,242,1,2.46,14,13,37.39,227,4,11.97,81,10,36.51,226,2,5.93,46,11,40.92,268,4,12.24,83,10,43.48,288,2,6.50,53,15,49.19,318,4,14.10,99,11,41.59,288,2,6.70,67,15,47.11,320,5,17.16,117,11,40.46,268,2,6.50,65
,,110500 - Spanish                                 ,,,,13,28.41,241,6,14.58,142,11,25.46,214,,,,14,32.90,289,6,14.92,135,12,29.70,241,,,,13,26.45,233,4,13.13,118,10,28.48,220,,,,14,28.46,244,5,13.95,120,12,33.13,263,,,,7,24.17,153,3,15.33,92,8,30.57,189,,,
,,110700 - Chinese                                 ,,,,2,3.30,19,,,,,,,,,,2,6.57,38,,,,1,2.59,15,,,,2,4.59,27,,,,2,4.73,28,,,,2,7.00,42,,,,2,6.00,36,,,,2,6.37,45,,,,2,7.67,46,,,
,,110800 - Japanese                                ,,,,2,9.91,57,,,,2,9.17,55,,,,2,6.84,41,,,,2,8.00,48,,,,2,8.00,48,,,,2,8.83,53,,,,1,4.67,28,,,,2,8.00,48,,,,2,7.33,44,,,,2,8.67,52,,,
,,111200 - Arabic                                  ,,,,2,7.83,45,,,,2,9.00,54,,,,2,12.27,71,,,,2,10.17,61,,,,2,9.84,57,1,3.67,22,2,9.17,55,,,,2,10.37,60,1,3.33,20,2,10.54,61,,,,2,10.54,61,1,3.33,20,2,9.67,56,,,
