Region,SOC,Occupation Title,Typical Entry Level Education,2025 Jobs,2025 - 2030 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
OC,13-1081,Logisticians,Bachelor's degree,3160,0.066657177,320,39.35884114,81870
SD/I,13-1081,Logisticians,Bachelor's degree,6100,0.051238807,600,47.85483973,99540
Bay,13-1081,Logisticians,Bachelor's degree,9430,0.082420483,1000,50.30866848,104640
SCC,13-1081,Logisticians,Bachelor's degree,1970,0.060071676,200,49.93600594,103870
CA,13-1081,Logisticians,Bachelor's degree,36930,0.081549665,3900,44.44437739,92440
LA,13-1081,Logisticians,Bachelor's degree,7900,0.055778604,780,39.01393703,81150
GS,13-1081,Logisticians,Bachelor's degree,1460,0.100547875,160,41.46836104,86250
IE/D,13-1081,Logisticians,Bachelor's degree,2710,0.118788005,310,37.30271559,77590
CVML,13-1081,Logisticians,Bachelor's degree,2160,0.111135919,240,39.58273731,82330
SCC,13-2028,Property Appraisers and Assessors,Bachelor's degree,520,-0.058682991,40,40.94941071,85170
FN,13-2028,Property Appraisers and Assessors,Bachelor's degree,260,-0.011054269,20,33.43504065,69540
LA,13-2028,Property Appraisers and Assessors,Bachelor's degree,2420,-0.044209242,190,42.30366966,87990
GS,13-2028,Property Appraisers and Assessors,Bachelor's degree,620,-0.022567178,50,43.26754796,90000
CA,13-2028,Property Appraisers and Assessors,Bachelor's degree,9160,-0.038929092,750,40.73510576,84730
OC,13-2028,Property Appraisers and Assessors,Bachelor's degree,950,-0.068448053,70,42.13912128,87650
IE/D,13-2028,Property Appraisers and Assessors,Bachelor's degree,780,-0.018817479,70,40.05643572,83320
Bay,13-2028,Property Appraisers and Assessors,Bachelor's degree,1950,-0.060000105,150,42.92239447,89280
CVML,13-2028,Property Appraisers and Assessors,Bachelor's degree,740,-0.001364452,60,34.16212053,71060
SD/I,13-2028,Property Appraisers and Assessors,Bachelor's degree,740,-0.065892694,60,41.15640208,85610
SCC,13-2082,Tax Preparers,High school diploma or equivalent,550,-0.034974778,60,29.41252707,61180
LA,13-2082,Tax Preparers,High school diploma or equivalent,3740,0.047646981,460,31.12445614,64740
GS,13-2082,Tax Preparers,High school diploma or equivalent,1070,0.019830001,130,29.79696895,61980
CVML,13-2082,Tax Preparers,High school diploma or equivalent,1070,-0.017953981,120,29.21620901,60770
SD/I,13-2082,Tax Preparers,High school diploma or equivalent,1110,0.012550603,130,32.65562024,67920
OC,13-2082,Tax Preparers,High school diploma or equivalent,1240,0.024664025,140,29.3607997,61070
IE/D,13-2082,Tax Preparers,High school diploma or equivalent,880,0.007967818,100,19.41135422,40380
CA,13-2082,Tax Preparers,High school diploma or equivalent,14400,0.011152523,1690,32.68613903,67990
Bay,13-2082,Tax Preparers,High school diploma or equivalent,3580,-0.049088068,390,38.63499487,80360
FN,13-2082,Tax Preparers,High school diploma or equivalent,230,-0.000256491,30,27.11622806,56400
CA,15-1231,Computer Network Support Specialists,Associate's degree,14480,0.038901691,1060,38.00489899,79050
FN,15-1231,Computer Network Support Specialists,Associate's degree,150,0.025241929,10,32.03482648,66630
LA,15-1231,Computer Network Support Specialists,Associate's degree,3740,-0.031576963,220,27.53512233,57270
GS,15-1231,Computer Network Support Specialists,Associate's degree,660,0.034271417,50,39.80078632,82790
CVML,15-1231,Computer Network Support Specialists,Associate's degree,680,0.047224484,50,35.84851752,74560
SCC,15-1231,Computer Network Support Specialists,Associate's degree,550,-0.026152932,30,40.42254024,84080
SD/I,15-1231,Computer Network Support Specialists,Associate's degree,1130,-0.005825106,70,37.83885606,78700
OC,15-1231,Computer Network Support Specialists,Associate's degree,1720,-0.01466284,100,27.6006006,57410
IE/D,15-1231,Computer Network Support Specialists,Associate's degree,640,0.078248229,50,37.33902863,77670
