,,,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,050650 - Retail Store Operations and Management  ,,,15,,,,,,,
,,060200 - Journalism                              ,,31,23,43,22,37,17,,14,
,,061000 - Mass Communications                     ,,36,37,,33,32,34,31,33,
,,061410 - Multimedia                              ,,219,239,126,245,210,280,121,207,
,,070700 - Computer Software Development           ,,902,928,628,"1,045",974,954,712,"1,009",
,,070710 - Computer Programming                    ,,29,33,48,2,28,,29,24,
,,070800 - Computer Infrastructure and Support     ,,68,70,64,108,93,120,103,88,
,,"080100 - Education, General                      ",,,,,38,,,,25,
,,083500 - Physical Education                      ,,686,813,358,740,731,838,433,699,
,,083550 - Intercollegiate Athletics               ,,216,234,279,306,255,255,309,295,
,,083580 - Adapted Physical Education              ,,47,47,61,46,38,42,55,58,
,,086000 - Educational Technology                  ,,684,479,319,601,"1,022",861,415,230,
,,"090100 - Engineering, General (requires Calculus)",,122,147,,101,144,172,,141,
,,094500 - Industrial Systems Technology and Mainte,,16,14,,16,17,3,,22,
,,094600 - Environmental Control Technology        ,,111,,,181,128,,,153,
,,095200 - Construction Crafts Technology          ,,39,,,,50,50,,,
,,095220 - Electrical                              ,,780,36,27,676,637,,38,699,153
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",,500,129,,610,453,112,,547,236
,,095640 - Sheet Metal and Structural Metal        ,,783,883,484,"1,123",788,630,397,812,851
,,095680 - Industrial Quality Control              ,,343,188,237,299,435,289,,4,
,,"100100 - Fine Arts, General                      ",,488,496,278,448,497,438,270,455,
,,100200 - Art                                     ,,50,59,,80,63,46,,71,
,,100210 - Painting and Drawing                    ,,162,124,73,151,154,123,68,171,
,,100230 - Ceramics                                ,,89,53,24,81,84,50,23,82,
,,100400 - Music                                   ,,291,292,93,357,322,297,190,312,
,,100500 - Commercial Music                        ,,346,279,129,263,350,251,72,251,
,,100600 - Technical Theater                       ,,64,38,31,42,71,24,,51,
,,100700 - Dramatic Arts                           ,,123,133,82,110,130,150,73,121,17
,,100800 - Dance                                   ,,42,44,,40,49,41,,43,
,,101100 - Photography                             ,,135,130,93,199,168,176,160,202,
,,101200 - Applied Photography                     ,,218,215,135,185,204,173,66,192,
,,103000 - Graphic Art and Design                  ,,582,281,386,292,591,226,114,454,
,,110500 - Spanish                                 ,,320,153,50,184,283,146,52,188,
