,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Canada Total,,,506,"1,526.28","9,079",542,"1,552.94","9,834",143,699.78,"3,336",578,"1,657.63","10,557",582,662.48,"10,547",127,597.51,"3,279",562,"1,867.62","11,838",609,"1,908.18","12,160",151,686.19,"3,753",606,"1,954.22","12,641",632,"1,954.81","12,716",150,761.28,"4,058",599,"1,981.60","12,636"
,,130590 - Infants and Toddlers                    ,1,3.05,16,1,7.25,38,,,,1,5.72,30,2,0.00,84,,,,1,7.05,37,1,7.50,41,,,,1,6.29,33,1,7.31,40,,,,1,7.05,37
,,"130600 - Nutrition, Foods, and Culinary Arts     ",2,11.83,62,1,7.63,40,1,7.50,41,1,7.25,38,1,0.00,40,1,7.50,41,1,6.29,33,1,7.82,41,1,8.05,44,1,8.20,43,1,8.08,41,1,7.86,43,1,8.39,44
,,"140100 - Law, General                            ",1,2.38,13,,,,1,2.01,11,,,,,,,,,,1,3.84,21,,,,,,,1,4.02,22,,,,,,,1,5.49,30
,,140200 - Paralegal                               ,4,8.59,53,6,14.53,88,,,,5,10.89,73,4,0.00,81,,,,5,12.91,91,5,13.82,92,2,7.31,43,5,20.54,121,6,20.22,117,1,4.57,25,5,19.55,121
,,150100 - English                                 ,41,106.66,704,39,75.30,615,8,28.37,157,41,121.26,860,41,47.92,756,7,23.37,139,47,130.69,"1,001",44,114.37,847,7,24.09,141,49,141.23,"1,043",45,116.92,877,7,26.31,162,46,140.79,988
,,150110 - Linguistics                             ,4,4.34,31,,,,,,,4,1.44,13,,,,,,,4,1.83,16,,,,,,,4,2.66,22,,,,,,,2,4.60,32
,,150300 - Comparative Literature                  ,3,3.72,35,1,1.50,15,,,,3,1.40,14,2,0.95,34,,,,1,1.60,16,2,3.33,34,,,,2,2.50,25,2,2.20,22,,,,2,3.30,33
,,150600 - Speech Communication                    ,14,44.36,266,14,48.52,305,3,18.84,103,16,42.68,285,15,6.20,305,5,25.68,157,14,43.05,278,16,61.19,371,7,26.96,171,14,48.15,361,16,53.34,364,5,25.14,157,12,41.25,334
,,150700 - Creative Writing                        ,2,1.45,15,2,1.60,16,,,,2,1.30,13,2,2.30,23,,,,2,2.40,24,2,5.07,25,,,,2,1.90,19,2,2.00,20,,,,2,1.60,16
,,150900 - Philosophy                              ,7,20.49,129,7,19.65,122,3,19.75,108,4,19.31,127,8,4.45,141,3,21.40,117,6,24.30,176,7,25.00,170,2,14.81,81,7,32.14,199,7,25.31,163,2,16.09,88,7,28.37,202
,,"160100 - Library Science, General                ",3,1.18,37,3,1.06,33,,,,2,0.83,26,2,0.00,43,,,,3,1.54,48,3,1.50,47,,,,2,0.89,28,2,1.50,47,,,,2,1.12,35
,,"170100 - Mathematics, General                    ",30,158.03,881,37,162.95,"1,029",3,63.56,236,33,182.85,926,34,76.43,877,4,40.00,175,33,226.38,"1,042",31,187.72,966,5,66.34,283,35,197.96,"1,055",36,177.35,976,6,84.07,334,31,183.02,978
