,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Deanza Total,,,"1,496","4,677.79","43,500","1,428","4,383.28","40,651",543,"1,723.56","16,321","1,531","4,586.18","42,846","1,402","4,069.00","37,733","1,357","3,843.79","35,711",528,"1,657.96","15,670","1,524","4,371.61","41,153","1,386","4,015.47","37,129","1,351","3,832.62","35,608",547,"1,716.79","16,262","1,447","4,276.33","39,561","1,351","4,087.75","37,874",587,"1,884.10","17,464","1,546","4,683.08","44,212","1,443","4,373.89","40,281","1,376","4,147.20","38,580",586,"1,938.90","18,063","1,547","4,791.84","44,323"
,,"090100 - Engineering, General (requires Calculus)",4,22.76,144,4,23.06,151,4,18.40,130,4,22.01,135,5,22.03,147,4,19.77,134,3,17.82,117,4,23.11,143,5,23.46,151,4,15.27,103,4,16.52,113,6,18.68,127,7,21.59,157,3,14.24,94,6,25.74,172,7,25.35,172,6,25.05,182,3,13.53,83,6,23.83,158
,,094610 - Energy Systems Technology               ,4,3.29,116,6,5.12,130,,,,3,2.34,65,4,2.78,96,5,3.77,79,1,0.29,13,4,2.73,77,4,3.51,119,6,4.71,107,,,,4,2.86,104,6,5.62,147,,,,3,2.52,69,3,2.71,71,6,4.50,105,,,,4,4.00,102
,,094800 - Automotive Technology                   ,35,77.75,597,26,68.25,491,9,6.27,66,36,74.48,572,30,76.94,536,32,72.03,512,4,7.43,83,32,82.00,583,30,81.10,559,32,83.42,610,6,11.08,119,32,94.29,658,31,96.79,692,8,14.49,149,33,87.95,629,33,89.04,621,30,85.85,634,8,13.02,130,33,96.24,711
,,094840 - Alternative Fuels and Advanced Transport,,,,,,,,,,,,,,,,,,,,,,,,,2,1.44,14,,,,,,,3,2.55,27,,,,,,,,,,,,,3,3.88,39,1,0.59,13,,,
,,095300 - Drafting Technology                     ,15,16.29,121,18,17.73,110,8,2.97,26,16,14.53,94,15,13.17,86,16,10.80,71,6,1.70,15,19,19.07,134,19,17.10,125,14,10.85,75,7,2.22,19,23,26.45,194,22,28.10,194,6,4.21,32,22,30.85,209,17,17.33,135,24,23.08,167,6,5.49,40,22,28.72,199
,,095600 - Manufacturing and Industrial Technology ,11,25.72,142,8,22.60,126,5,5.00,40,14,25.19,156,15,32.64,188,12,27.19,166,5,4.71,37,13,30.75,183,16,34.67,194,10,30.87,174,6,11.13,65,14,28.14,166,10,23.48,136,6,10.27,56,12,32.80,192,14,38.77,216,10,23.47,133,5,9.29,48,9,35.87,206
,,"100100 - Fine Arts, General                      ",10,44.75,493,13,58.12,642,3,14.05,158,15,62.08,698,13,56.86,639,14,61.20,688,3,12.89,145,15,64.04,720,12,59.76,643,16,66.45,747,3,14.51,163,12,58.62,659,16,65.03,731,9,17.01,190,14,57.81,650,13,63.42,690,18,74.89,842,3,13.34,150,16,68.82,774
,,100200 - Art                                     ,1,3.47,26,2,6.67,50,,,,2,6.40,48,2,5.20,39,1,4.00,30,,,,2,4.94,37,1,3.87,29,1,4.40,33,,,,1,3.47,26,1,3.47,26,,,,2,6.00,45,1,3.87,29,1,3.47,26,,,,2,5.60,42
,,100210 - Painting and Drawing                    ,12,33.47,251,10,28.00,210,1,3.60,27,12,31.72,238,12,31.21,234,8,20.00,150,1,3.47,26,11,28.52,214,13,30.13,226,10,26.80,201,1,3.33,25,12,27.73,208,10,25.86,194,1,3.73,28,13,28.41,213,13,29.99,225,11,24.37,174,1,3.33,25,11,26.12,196
,,100220 - Sculpture                               ,3,2.54,19,3,2.80,21,,,,3,3.07,23,,,,1,2.13,16,,,,3,3.07,23,3,3.20,24,,,,1,2.61,19,3,2.27,17,,,,,,,3,2.66,20,2,2.40,18,,,,2,2.74,20,2,2.40,18
