,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,499900 - Other Interdisciplinary Studies         ,55,,61,35,49,,104,,81,,70,,68,,28,33,65,
,Credit - Not Degree Applicable                     Total,,"1,264",,"1,172",215,"1,192",,"1,195",346,"1,313",,"1,239",227,"1,179",,"1,341",495,"1,754",
,,050600 - Business Management                     ,,,,,,,,,28,,,,24,,,,,
,,083580 - Adapted Physical Education              ,,,,,22,,,,23,,,,23,,,,23,
,,094600 - Environmental Control Technology        ,56,,49,,51,,47,,47,,43,,42,,39,,12,
,,094800 - Automotive Technology                   ,,,,,,,,,,,,,20,,20,,47,
,,095220 - Electrical                              ,12,,,,6,,,,18,,,,16,,,,37,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",30,,27,,21,,18,,19,,18,,18,,17,,48,
,,095290 - Roofing                                 ,33,,47,,25,,22,,24,,48,,24,,53,,26,
,,100800 - Dance                                   ,,,,,,,2,,,,,,3,,,,,
,,125000 - Emergency Medical Services              ,,,,,,,,,,,,,,,,,32,
,,126100 - Community Health Care Worker            ,,,,,,,,,,,,,,,,,17,
,,130630 - Culinary Arts                           ,,,,,,,,,,,,,13,,,,30,
,,150100 - English                                 ,107,,80,43,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",330,,260,52,261,,211,34,260,,265,32,294,,307,26,644,
,,210450 - Disability Services                     ,,,15,,,,14,,,,17,,,,20,8,,
,,210500 - Administration of Justice               ,280,,336,97,363,,521,275,440,,439,186,324,,524,447,350,
,,220600 - Geography                               ,,,,,,,,,,,,,,,33,,,
,,493014 - Study Skills                            ,163,,118,11,173,,144,16,164,,154,,140,,131,,304,
,,"493030 - Learning Skills, Handicapped            ",20,,,,22,,,,22,,,,23,,,,,
,,"493031 - Living Skills, Handicapped              ",77,,74,,76,,79,,83,,81,,77,,73,,34,
,,"493032 - Learning Skills, Learning Disabled      ",75,,64,,65,,47,,75,,70,,74,,73,,91,
,,493084 - English as a Second Language - Writing  ,17,,27,9,34,,30,16,32,,19,,17,,20,,17,
,,493086 - English as a Second Language - Listening,,,29,3,27,,7,3,21,,25,3,17,,10,14,19,
,,493087 - English as a Second Language - Integrate,58,,42,,43,,49,2,49,,59,6,17,,13,,17,
,,493100 - Vocational ESL                          ,6,,4,,3,,4,,8,,1,,13,,8,,6,
