TOP Code - TOP Title,TOP CTE Flag,CIP Code - CIP Title,CIP CTE Flag,"Count of Colleges "
0506.40 - Small Business and Entrepreneurship,CTE,52.0704 - Social Entrepreneurship,Not CTE,2
0506.50 - Retail Store Operations and Management,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0506.50 - Retail Store Operations and Management,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0506.50 - Retail Store Operations and Management,CTE,"52.0101 - Business/Commerce, General",Both,1
0506.50 - Retail Store Operations and Management,CTE,52.0212 - Retail Management,CTE,33
0506.50 - Retail Store Operations and Management,CTE,52.1803 - Retailing and Retail Operations,CTE,5
0508.00 - International Business and Trade,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0508.00 - International Business and Trade,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0508.00 - International Business and Trade,CTE,52.1101 - International Business/Trade/Commerce,CTE,24
0509.00 - Marketing and Distribution,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0509.00 - Marketing and Distribution,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0509.00 - Marketing and Distribution,CTE,"52.0201 - Business Administration and Management, General",CTE,1
0509.00 - Marketing and Distribution,CTE,52.1101 - International Business/Trade/Commerce,CTE,1
0509.00 - Marketing and Distribution,CTE,"52.1401 - Marketing/Marketing Management, General",CTE,18
0509.00 - Marketing and Distribution,CTE,52.1404 - Digital Marketing,CTE,9
0509.00 - Marketing and Distribution,CTE,"52.1801 - Sales, Distribution, and Marketing Operations, General",Not CTE,37
0509.00 - Marketing and Distribution,CTE,"52.9999 - Business, Management, Marketing, and Related Support Services, Other",Both,1
0509.10 - Advertising,CTE,"09.0900 - Public Relations, Advertising, and Applied Communication",Not CTE,1
0509.10 - Advertising,CTE,09.0903 - Advertising,Not CTE,6
0509.10 - Advertising,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0509.10 - Advertising,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
